date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:01	32901/32901	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2017:33:41%20GMT	https://grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/main.js?ver=1.8.78	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/mainf552.js	(from https://grupoplaytvstreaming.com.br/)
19:26:01	5125/5125	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Nov%202022%2016:14:41%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.7.7	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.minac9e.js	(from https://grupoplaytvstreaming.com.br/)
19:26:01	4958/4958	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20May%202023%2011:07:51%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.13.2	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min2e9d.js	(from https://grupoplaytvstreaming.com.br/)
19:26:01	89815/89815	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202023%2006:38:24%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/js/jquery/jquery.min5aed.js	(from https://grupoplaytvstreaming.com.br/)
19:26:02	13424/13424	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202023%2006:38:24%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://grupoplaytvstreaming.com.br/)
19:26:02	45667/45667	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20May%202023%2011:07:50%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.13.2	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min2e9d.js	(from https://grupoplaytvstreaming.com.br/)
19:26:04	8171/8171	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202023%2006:38:25%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://grupoplaytvstreaming.com.br/)
19:26:05	6607/6607	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202023%2006:38:25%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from https://grupoplaytvstreaming.com.br/)
19:26:05	17823/17823	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Sep%202022%2015:43:29%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://grupoplaytvstreaming.com.br/)
19:26:05	4910/4910	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2012:04:30%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/js/dist/hooks.min6c65.js	(from https://grupoplaytvstreaming.com.br/)
